,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0,0022300001,1610612754,Indiana,Pacers,IND,pacers,240:00,111.5,118.6,112.6,112.6,-1.2,6.0,0.622,1.47,19.5,0.318,0.822,0.573,17.502,18.6,0.61,0.627,1.0,0.197,105.78,102.5,85.42,102.0,0.493
1,0022300001,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,112.6,112.6,111.5,118.6,1.2,-6.0,0.614,2.08,20.0,0.178,0.682,0.427,12.621,12.6,0.571,0.611,1.0,0.2,105.78,102.5,85.42,103.0,0.507
0,0022300002,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,108.6,110.0,102.9,104.0,5.6,6.0,0.686,1.71,18.1,0.18,0.683,0.455,13.818,14.0,0.549,0.583,1.0,0.199,101.66,100.5,83.75,100.0,0.548
1,0022300002,1610612752,New York,Knicks,NYK,knicks,240:00,102.9,104.0,108.6,110.0,-5.6,-6.0,0.474,1.64,13.2,0.317,0.82,0.545,10.784,10.9,0.448,0.491,1.0,0.197,101.66,100.5,83.75,101.0,0.452
0,0022300003,1610612748,Miami,Heat,MIA,heat,240:00,120.8,118.6,109.1,111.8,11.7,6.9,0.729,1.67,24.6,0.212,0.821,0.542,20.966,20.6,0.681,0.702,1.0,0.196,102.32,102.0,85.0,102.0,0.55
1,0022300003,1610612764,Washington,Wizards,WAS,wizards,240:00,109.1,111.8,120.8,118.6,-11.7,-6.9,0.717,1.65,23.3,0.179,0.788,0.458,19.142,19.6,0.648,0.644,1.0,0.197,102.32,102.0,85.0,102.0,0.45
0,0022300004,1610612741,Chicago,Bulls,CHI,bulls,240:00,111.3,112.6,107.7,116.0,3.6,-3.3,0.488,2.1,16.6,0.265,0.704,0.495,10.399,10.5,0.545,0.562,1.0,0.202,98.68,94.5,78.75,95.0,0.484
1,0022300004,1610612751,Brooklyn,Nets,BKN,nets,240:00,107.7,116.0,111.3,112.6,-3.6,3.3,0.727,2.91,22.7,0.296,0.735,0.505,10.87,11.7,0.552,0.555,1.0,0.194,98.68,94.5,78.75,94.0,0.516
0,0022300005,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,128.5,132.4,131.5,133.0,-3.1,-0.6,0.52,1.37,18.4,0.286,0.609,0.469,17.56,18.1,0.693,0.722,1.0,0.198,107.7,105.5,87.92,105.0,0.477
1,0022300005,1610612744,Golden State,Warriors,GSW,warriors,240:00,131.5,133.0,128.5,132.4,3.1,0.6,0.735,2.4,23.0,0.391,0.714,0.531,13.993,14.2,0.63,0.67,1.0,0.201,107.7,105.5,87.92,106.0,0.523
0,0022300006,1610612743,Denver,Nuggets,DEN,nuggets,240:00,122.1,128.9,115.8,115.2,6.4,13.7,0.673,1.65,21.4,0.479,0.756,0.613,19.539,20.6,0.597,0.617,1.0,0.193,100.42,98.0,81.67,97.0,0.551
1,0022300006,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,115.8,115.2,122.1,128.9,-6.4,-13.7,0.659,1.8,19.9,0.244,0.521,0.387,15.232,15.2,0.576,0.61,1.0,0.195,100.42,98.0,81.67,99.0,0.449
0,0022300007,1610612757,Portland,Trail Blazers,POR,blazers,265:00,103.8,107.5,101.1,104.6,2.6,2.8,0.487,1.36,13.1,0.29,0.725,0.487,12.631,13.1,0.453,0.514,1.0,0.197,100.78,97.36,81.13,107.0,0.484
